Brand,Model,Insurance Validity,Fuel Type,Seats,Kms Driven (in kms),RTO,Ownership,Engine Displacement (in cc),Transmission,Year of Manufacture,Mileage (in kmpl),Max Power (in bhp),Torque (in nm),Wheel Size,Registration Month,Registration Year,Depreciation Rate (in %),Price (in lacs),City,Car Location
Maruti,Ciaz VDi Plus SHVS,Not Available,Diesel,5,"46,890",RJ45,Second Owner,1248,Manual,2016,28.09,88.5,200,,Sept,2016,70,6.5,Jaipur,
Maruti,Swift VDI,Third Party insurance,Diesel,5,"96,035",RJ01,Second Owner,1248,Manual,2013,22.9,74,190,14,Jun,2013,75,4.11,Jaipur,"Jaipur, Rajasthan..."
Maruti,Swift VVT VXI,Third Party insurance,Petrol,5,"93,175",RJ14,First Owner,1197,Manual,2014,22,81.80,113,,Feb,2014,75,4.39,Jaipur,"Jaipur, Rajasthan..."
Maruti,Baleno Sigma,Third Party insurance,Petrol,5,"32,338",RJ45,First Owner,1197,Manual,2020,21.01,81.80,113,,Sept,2020,30,5.99,Jaipur,"Jaipur, Rajasthan..."
Maruti,Ignis 1.2 Delta BSIV,Third Party insurance,Petrol,5,"60,017",RJ14,First Owner,1197,Manual,2017,20.89,81.80,113,,Dec,2017,60,4.49,Jaipur,"Jaipur, Rajasthan..."
Hyundai,i20 Asta 1.4 CRDi,Comprehensive,Diesel,5,"98,360",RJ14,First Owner,1396,Manual,2014,22.54,88.73,219.7,16,Jun,2014,75,4.64,Jaipur,
Renault,Kiger RXL AMT,Third Party insurance,Petrol,5,"20,660",RJ45,First Owner,999,Automatic,2021,19.03,71.01,96,,Jun,2021,20,6.65,Jaipur,"Jaipur, Rajasthan..."
Maruti,Alto 800 VXI,Third Party,Petrol,5,"9,033",RJ45,First Owner,796,Manual,2021,22.05,47.33,69,,Jun,2021,20,4.01,Jaipur,
Hyundai,Aura S,Third Party,Petrol,5,"49,910",RJ10,First Owner,1197,Manual,2020,20.5,81.86,113.8,,Jun,2020,30,6.56,Jaipur,
Renault,Triber RXL BSIV,Comprehensive,Petrol,7,"31,078",RJ02,First Owner,999,Manual,2019,20,72,96,,Jun,2019,40,5.42,Jaipur,
Skoda,Slavia 1.0 TSI Active,Comprehensive,Petrol,5,"13,978",RJ45,First Owner,999,Manual,2022,19.47,113.98,178,,Aug,2022,15,11.5,Jaipur,
Maruti,Alto 800 LXI Optional,Third Party,Petrol,5,"36,286",RJ26,Second Owner,796,Manual,2018,24.7,47.3,69,,Jun,2018,50,2.95,Jaipur,
Maruti,Swift 1.3 VXi,Not Available,Petrol,5,"1,13,427",RJ14,Third Owner,1298,Manual,2009,16.1,8,11,14,Jul,2009,75,1.8,Jaipur,
Tata,Tiago XTA AMT,Not Available,Petrol,5,"50,044",RJ05,First Owner,1199,Automatic,2021,19,84.82,113,,Mar,2021,20,5.6,Jaipur,
Porsche,Cayenne Platinum Edition,Comprehensive,Petrol,5,"20,500",PB10,First Owner,2995,Automatic,2020,12.5,420,550,18,Feb,2020,30,1.25,Jaipur,
BMW,3 Series Gran Limousine 330 Li Luxury Line,Comprehensive,Petrol,5,"7,500",UP14,First Owner,1998,Automatic,2022,15.3,254.79,400,17,Jul,2022,15,58.0,Jaipur,
BMW,5 Series 530i Sport Line,Comprehensive,Petrol,5,"37,000",DL10,First Owner,1998,Automatic,2017,15.56,252,350,18,Dec,2017,60,40.0,Jaipur,
Mercedes-Benz,S-Class S 350 d,Comprehensive,Diesel,5,"17,000",HR26,First Owner,2925,Automatic,2021,13.5,281.61,600,18,Feb,2021,20,1.1,Jaipur,
Land,Rover Discovery Sport TD4 HSE,Comprehensive,Diesel,5,"46,000",UP14,First Owner,1999,Automatic,2019,12.63,147.5,400,17,Aug,2019,40,45.75,Jaipur,
Porsche,Macan S,Third Party insurance,Petrol,5,"3,800",HR26,First Owner,2894,Automatic,2022,,375.48,520,20,Apr,2022,15,90.0,Jaipur,
Tata,Tigor XM,Third Party,Petrol,5,"20,377",RJ45,First Owner,1199,Manual,2021,19.28,84.82,113,,Jun,2021,20,6.33,Jaipur,
Kia,Sonet 1.5 HTX Diesel,Third Party,Diesel,5,"1,314",RJ45,First Owner,1493,Manual,2022,,98.63,240,16,Jun,2022,15,12.24,Jaipur,
Hyundai,Verna S Plus,Third Party,Petrol,5,359,RJ45,First Owner,1497,Manual,2022,17.7,113.18,143.8,,Jun,2022,15,10.32,Jaipur,
Maruti,Wagon R LXI Minor,Comprehensive,Petrol,5,"93,569",RJ14,First Owner,998,Manual,2012,18.9,67.1,90,13,Jun,2012,75,2.4,Jaipur,
Honda,City 1.5 S MT,Comprehensive,Petrol,5,"64,136",RJ14,First Owner,1497,Manual,2010,17,"118PS at 6,600 ",146Nm at 4800 r,15,Jun,2010,75,2.93,Jaipur,
Hyundai,i20 Asta Turbo DCT,Third Party insurance,Petrol,5,"9,677",RJ45,First Owner,998,Automatic,2020,20.28,118.36,171.62,R16,Feb,2021,30,9.99,Jaipur,"Jaipur, Rajasthan..."
Maruti,Alto 800 VXI,Third Party insurance,Petrol,5,"28,760",RJ45,First Owner,796,Manual,2020,22.05,47.33,69,,Jun,2020,30,3.79,Jaipur,"Jaipur, Rajasthan..."
Maruti,Swift VXI,Third Party insurance,Petrol,5,"73,407",RJ41,First Owner,1197,Manual,2019,21.21,81.80,113,,Jun,2020,40,6.1,Jaipur,"Jaipur, Rajasthan..."
Hyundai,Verna 1.6 CRDi SX,Third Party insurance,Diesel,5,"68,784",RJ14,First Owner,1582,Manual,2017,23.9,126.2,259.9,16,Sept,2017,60,9.49,Jaipur,"Jaipur, Rajasthan..."
Renault,KWID 1.0 RXT,Third Party insurance,Petrol,5,"37,410",RJ14,First Owner,999,Manual,2017,23.01,67,91,,Feb,2017,60,3.1,Jaipur,"Jaipur, Rajasthan..."
Renault,Duster RXZ Turbo,Third Party,Petrol,5,"52,624",RJ45,First Owner,1330,Manual,2020,16.42,153.866,254,R17,Feb,2021,30,9.49,Jaipur,"Jaipur, Rajasthan..."
Audi,Q8 Celebration Edition,Comprehensive,Petrol,5,"28,000",HR26,First Owner,2995,Automatic,2022,9.8,335.25,500,19,Mar,2022,15,1.01,Jaipur,
Maruti,Ciaz ZDi Plus,Comprehensive,Diesel,5,"75,000",RJ14,First Owner,1248,Manual,2015,26.21,88.5,200,16,Aug,2015,75,5.9,Jaipur,
Mahindra,Xylo D4 BSIV,Comprehensive,Diesel,8,"77,000",RJ32,Second Owner,2498,Manual,2013,14,112bhp at 3800 ,260 Nm at 1800-2200 r,15,Jul,2013,75,2.85,Jaipur,
Tata,Hexa XM,Comprehensive,Diesel,7,"74,000",RJ05,First Owner,2179,Manual,2017,17.6,153.86,400,,Jul,2017,60,8.5,Jaipur,
Maruti,Ertiga SHVS VDI,Comprehensive,Diesel,7,"68,000",RJ02,Second Owner,1248,Manual,2016,24.52,88.5,200,,Jul,2016,70,7.11,Jaipur,
Tata,Harrier XZ,Comprehensive,Diesel,5,"78,000",RJ45,First Owner,1956,Manual,2019,16.35,167.67,350,17,Aug,2019,40,14.0,Jaipur,
Maruti,Ciaz VDi Plus,Comprehensive,Diesel,5,"76,000",RJ14,First Owner,1248,Manual,2015,26.21,88.5,200,,Jul,2015,75,5.75,Jaipur,
Mahindra,Scorpio S11,Comprehensive,Diesel,7,"60,000",RJ21,First Owner,2179,Manual,2020,15.4,136.78,319,R17,Aug,2020,30,17.5,Jaipur,
Maruti,Eeco CNG 5 Seater AC,Third Party insurance,CNG,5,"45,894",RJ32,First Owner,1196,Manual,2021,20.88 ,61.68,85,,Feb,2021,20,5.89,Jaipur,"Jaipur, Rajasthan..."
Maruti,Eeco 5 Seater AC 2020-2022,Comprehensive,Petrol,5,"53,769",RJ45,First Owner,1196,Manual,2022,16.11,72.41,98,,Jun,2022,15,5.12,Jaipur,
Maruti,Eeco 5 Seater STD 2020-2022,Third Party,Petrol,5,"55,184",RJ02,First Owner,1196,Manual,2020,16.11,72.41,98,,Jun,2020,30,4.59,Jaipur,
Hyundai,Grand i10 1.2 Kappa Magna BSIV,Third Party insurance,Petrol,5,"28,393",RJ14,First Owner,1197,Manual,2017,18.9,81.86,113.75,,Dec,2017,60,4.85,Jaipur,"Jaipur, Rajasthan..."
Maruti,Baleno 1.2 Delta,Comprehensive,Petrol,5,"27,303",RJ45,First Owner,1197,Manual,2019,21.4,83.1,115,,Jun,2019,40,7.07,Jaipur,
Skoda,Kushaq 1.5 TSI Style,Comprehensive,Petrol,5,"32,576",RJ45,First Owner,1498,Manual,2021,17.95,147.51,250,17,Jun,2021,20,13.82,Jaipur,
Maruti,Wagon R VXI,Third Party,Petrol,5,"12,805",RJ47,First Owner,998,Manual,2020,21.79,67.05,90,,Jun,2020,30,5.4,Jaipur,
Honda,Amaze V CVT Diesel BSIV,Comprehensive,Diesel,5,"90,004",RJ41,First Owner,1498,Automatic,2018,23.8,78.9,160,,Jun,2018,50,6.95,Jaipur,
Maruti,Wagon R AMT VXI,Third Party,Petrol,5,"39,235",RJ45,First Owner,998,Automatic,2018,20.51,67,90,,Jun,2018,50,4.25,Jaipur,
Maruti,Wagon R VXI BS IV,Third Party,Petrol,5,"88,255",RJ07,First Owner,998,Manual,2016,20.51,67.04,90,,Jun,2016,70,3.8,Jaipur,
Hyundai,Grand i10 AT Asta,Third Party,Petrol,5,"72,761",RJ14,First Owner,1197,Automatic,2016,18.9,82,114,14,Jun,2016,70,4.88,Jaipur,
Nissan,Magnite XV,Zero Dep,Petrol,5,"13,889",RJ45,First Owner,999,Manual,2021,18.75,71.02,96,16,Nov,2021,20,6.8,Jaipur,
Hyundai,Verna 1.6 SX,Not Available,Diesel,5,"89,654",RJ19,Third Owner,1582,Manual,2012,22.32,126.32,259.8,16,Jun,2012,75,3.33,Jaipur,
Maruti,Omni E MPI STD BSIV,Not Available,Petrol,8,"56,662",RJ14,First Owner,796,Manual,2016,16.8,34.2,59,12,Aug,2016,70,2.15,Jaipur,
Honda,Amaze V Petrol BSIV,Not Available,Petrol,5,"25,182",DL10,First Owner,1199,Manual,2018,19.5,88.76,110,,Jul,2018,50,6.5,Jaipur,
Hyundai,i20 Magna 1.2,Not Available,Petrol,5,"74,337",RJ14,First Owner,1197,Manual,2016,18.6,81.83,114.7,,Mar,2016,70,5.5,Jaipur,
Ford,Figo Diesel ZXI,Not Available,Diesel,5,"1,33,657",RJ14,Third Owner,1399,Manual,2011,20,68,160,14,Aug,2011,75,1.5,Jaipur,
Maruti,Swift VXI,Third Party,Petrol,5,"18,144",RJ45,First Owner,1197,Manual,2019,21.21,81.80,113,,Jun,2019,40,6.34,Jaipur,
Maruti,S-Presso VXI CNG 2019-2020,Third Party,CNG,4,"38,091",RJ02,First Owner,998,Manual,2020,31.2,58.33,78,,Jun,2020,30,5.21,Jaipur,
Maruti,Wagon R VXI BS IV,Third Party,Petrol,5,"83,451",RJ14,First Owner,998,Manual,2015,20.51,67.04,90,,Jun,2015,75,3.53,Jaipur,
Maruti,Vitara Brezza VDi,Comprehensive,Diesel,5,"71,234",RJ14,First Owner,1248,Manual,2017,24.3,88.5,200,,Sept,2017,60,7.85,Jaipur,
Maruti,Vitara Brezza ZDi,Comprehensive,Diesel,5,"63,412",RJ45,First Owner,1248,Manual,2019,24.3,88.5,200,16,Nov,2019,40,9.35,Jaipur,
Tata,Tiago XZ Plus,Third Party,Petrol,5,"38,755",RJ45,First Owner,1199,Manual,2021,19.01,84.82,113,15,Jun,2021,20,5.88,Jaipur,
Hyundai,Venue SX Opt Turbo,Third Party,Petrol,5,"13,369",RJ45,First Owner,998,Manual,2021,18.27,118.35,171.6,16,Jun,2021,20,11.05,Jaipur,
Maruti,Baleno 1.2 Delta,Third Party,Petrol,5,"43,449",RJ02,Second Owner,1197,Manual,2019,21.4,83.1,115,,Jun,2019,40,6.84,Jaipur,
Hyundai,i20 Asta 1.4 CRDi,Not Available,Diesel,5,"80,151",RJ14,First Owner,1396,Manual,2015,22.54,88.73,219.7,16,Oct,2015,75,6.0,Jaipur,
Maruti,SX4 S Cross Sigma,Not Available,Petrol,5,"19,813",RJ45,First Owner,1462,Manual,2020,18.55,103.25,138,,Nov,2020,30,9.0,Jaipur,
Maruti,Swift Dzire VXI,Not Available,Petrol,5,"78,296",RJ14,First Owner,1197,Manual,2013,19.1,85.8,114,14,Aug,2013,75,3.5,Jaipur,
Hyundai,i20 Sportz Plus Dual Tone,Not Available,Petrol,5,"45,724",RJ45,First Owner,1197,Manual,2020,18.6,81.86,117,16,Sept,2020,30,6.3,Jaipur,
Hyundai,i20 Sportz Plus,Not Available,Petrol,5,"33,952",RJ25,Second Owner,1197,Manual,2020,18.6,81.86,117,15,Sept,2020,30,5.5,Jaipur,
Renault,Kiger RXE,Not Available,Petrol,5,"11,057",RJ45,First Owner,999,Manual,2021,19.17,71.01,96,,Jan,2022,20,5.84,Jaipur,
Honda,Amaze S i-Dtech,Not Available,Diesel,5,"1,18,797",RJ14,Second Owner,1498,Manual,2013,25.8,98.6,200,,Oct,2013,75,2.5,Jaipur,
Maruti,Baleno Sigma,Not Available,Petrol,5,"16,210",RJ45,First Owner,1197,Manual,2021,21.01,81.80,113,,Jan,2021,20,5.79,Jaipur,
Ford,Figo 1.5D Trend MT,Not Available,Diesel,5,"65,887",RJ14,First Owner,1498,Manual,2015,25.83,99,215,,Nov,2015,75,3.0,Jaipur,
Toyota,Etios Liva D TRD Sportivo,Comprehensive,Diesel,5,"96,000",RJ19,Second Owner,1364,Manual,2013,23.59,67.04,170,15,Mar,2013,75,4.15,Jaipur,
Mahindra,Xylo E8,Not Available,Diesel,8,"57,868",RJ14,First Owner,2498,Manual,2009,14,112bhp at 3800 ,260 Nm at 1800-2200 r,15,Sept,2009,75,2.58,Jaipur,
Hyundai,i20 1.2 Asta,Comprehensive,Petrol,5,"55,358",RJ14,First Owner,1197,Manual,2011,17,80 PS at 5200 ,"11.4 kgm at 4,000 r",14,Apr,2011,75,2.7,Jaipur,
Hyundai,Grand i10 Sportz,Zero Dep,Petrol,5,"78,196",RJ02,First Owner,1197,Manual,2015,18.9,82,114,,Feb,2015,75,4.0,Jaipur,
Hyundai,i10 Magna 1.2,Comprehensive,Petrol,5,"87,998",RJ14,Second Owner,1197,Manual,2010,20.36,78.9,111.7,13,May,2010,75,1.6,Jaipur,
Maruti,Alto LXi,Not Available,Petrol,5,"1,11,762",RJ08,Second Owner,796,Manual,2010,19.7,46.3,62,12,Nov,2010,75,1.0,Jaipur,
Honda,Amaze E Option i-DTEC,Comprehensive,Diesel,5,"64,000",RJ45,First Owner,1498,Manual,2017,25.8,98.6,200,,Apr,2018,60,5.25,Jaipur,
Hyundai,Verna CRDi 1.6 SX,Not Available,Diesel,5,"65,661",RJ45,First Owner,1582,Manual,2018,22,126.2,259.87,16,Nov,2018,50,7.5,Jaipur,
Hyundai,i20 Sportz Plus BSIV,Not Available,Petrol,5,"49,015",RJ45,First Owner,1197,Manual,2019,18.6,81.86,117,15,Oct,2019,40,7.0,Jaipur,
Maruti,Celerio ZXI Plus,Not Available,Petrol,5,"16,136",RJ45,First Owner,998,Manual,2022,24.97,65.71,89,15,Aug,2022,15,5.6,Jaipur,
Maruti,XL6 Alpha,Comprehensive,Petrol,6,"16,571",RJ14,First Owner,1462,Manual,2020,19.01,103.2,138,R15,Jan,2020,30,10.9,Jaipur,
Volkswagen,Vento Petrol Trendline,Comprehensive,Petrol,5,"96,000",RJ14,Second Owner,1598,Manual,2012,15.04,103.6,153,14,Aug,2012,75,3.45,Jaipur,
Maruti,Swift VXI,Not Available,Petrol,5,"57,088",RJ14,First Owner,1197,Manual,2015,21.21,81.80,113,,Oct,2015,75,4.5,Jaipur,
Toyota,Innova Crysta 2.4 VX MT 8S BSIV,Not Available,Diesel,8,"83,709",RJ52,Second Owner,2393,Manual,2016,13.68,147.8,343,16,Dec,2016,70,16.0,Jaipur,
Hyundai,Verna CRDi 1.6 EX,Not Available,Diesel,5,"71,293",RJ45,First Owner,1582,Manual,2018,22,126.2,259.87,,Sept,2018,50,8.5,Jaipur,
Maruti,Ertiga VDI,Third Party,Diesel,7,"21,230",RJ14,First Owner,1248,Manual,2019,25.47,88.50,200,,Nov,2019,40,10.5,Jaipur,
Hyundai,Verna SX,Not Available,Petrol,5,"27,368",RJ45,First Owner,1497,Manual,2021,17.7,113.18,143.8,16,Feb,2022,20,10.5,Jaipur,
Tata,Punch Adventure Rhythm,Comprehensive,Petrol,5,"26,388",RJ45,First Owner,1199,Manual,2021,20.09,117.74,115,,Dec,2021,20,6.65,Jaipur,
Mahindra,Thar LX 4-Str Convert Top AT,Third Party,Petrol,4,"16,000",UP78,First Owner,1997,Automatic,2021,15.2,150,320,18,Feb,2021,20,14.9,Jaipur,
Porsche,Cayenne Diesel,Not Available,Diesel,5,"81,996",RJ14,First Owner,2967,Automatic,2009,15.15,240,550,18,Dec,2009,75,17.03,Jaipur,
BMW,X7 xDrive 40i M Sport,Third Party insurance,Petrol,7,"40,001",GJ05,First Owner,2998,Automatic,2019,10.54,335.25,450,21,Oct,2019,40,1.05,Jaipur,
Hyundai,Grand i10 CRDi Sportz,Not Available,Diesel,5,"61,116",RJ14,First Owner,1120,Manual,2015,24,70,160,,Jan,2016,75,4.5,Jaipur,
Maruti,Swift Dzire VXI,Not Available,Petrol,5,"98,511",RJ34,First Owner,1197,Manual,2013,19.1,85.8,114,14,Oct,2013,75,4.0,Jaipur,
Maruti,Swift Dzire VXi,Not Available,Petrol,5,"71,465",RJ14,First Owner,1298,Manual,2011,17.5,85.8,114,14,Mar,2011,75,2.25,Jaipur,
Honda,City Corporate Edition,Third Party,Petrol,5,"48,602",RJ14,First Owner,1497,Manual,2012,16.8,116.3,146,15,Jul,2012,75,4.27,Jaipur,
Hyundai,Grand i10 Sportz,Comprehensive,Petrol,5,"73,400",HR26,First Owner,1197,Manual,2016,18.9,82,114,,Dec,2016,70,4.15,Jaipur,
Toyota,Innova Crysta 2.8 GX AT BSIV,Comprehensive,Diesel,7,"1,12,000",HR26,First Owner,2755,Automatic,2019,11.36,171.5,360,16,Aug,2019,40,17.35,Jaipur,
Hyundai,Verna VTVT 1.6 SX Option,Not Available,Petrol,5,"41,266",RJ45,First Owner,1591,Manual,2018,17,121.3,151,16,Sept,2018,50,8.0,Jaipur,
Volkswagen,Ameo 1.5 TDI Comfortline,Not Available,Diesel,5,"1,09,461",RJ45,First Owner,1498,Manual,2018,21.66,108.62,250,,Sept,2018,50,6.0,Jaipur,
Hyundai,Verna CRDi 1.6 SX Option,Comprehensive,Diesel,5,"81,000",HR12,First Owner,1582,Manual,2018,22,126.2,259.87,16,May,2018,50,9.45,Jaipur,
Hyundai,EON D Lite Optional,Not Available,Petrol,5,"61,734",RJ14,First Owner,814,Manual,2011,21.1,55.2,74.5,,May,2012,75,1.4,Jaipur,
Hyundai,EON D Lite,Comprehensive,Petrol,5,"53,674",RJ14,First Owner,814,Manual,2013,21.1,55.2,74.5,,Mar,2013,75,1.85,Jaipur,
Mercedes-Benz,S-Class S 350 CDI,Comprehensive,Diesel,5,"45,000",DL2C,First Owner,2987,Automatic,2014,13.5,254.79,620,18,Nov,2014,75,42.0,Jaipur,
Maruti,Wagon R VXI BS IV,Not Available,Petrol,5,"81,849",RJ14,Second Owner,998,Manual,2015,20.51,67.04,90,,Nov,2015,75,3.25,Jaipur,
Mahindra,TUV 300 T10 BSIV,Not Available,Diesel,7,"52,609",RJ41,First Owner,1493,Manual,2019,18.49,100,240,R15,Oct,2019,40,8.0,Jaipur,
Maruti,Swift Dzire VDI,Not Available,Diesel,5,"88,762",RJ14,First Owner,1248,Manual,2015,26.59,74,190,,Aug,2015,75,5.0,Jaipur,
Hyundai,Grand i10 CRDi Sportz,Comprehensive,Diesel,5,"90,123",RJ14,Second Owner,1120,Manual,2014,24,70,160,,Oct,2014,75,3.55,Jaipur,
Tata,Tiago XZ Plus,Zero Dep,Petrol,5,"32,141",PB22,First Owner,1199,Manual,2021,19.01,84.82,113,15,May,2021,20,6.0,Jaipur,
Maruti,Ciaz 1.4 Alpha,Comprehensive,Petrol,5,"81,553",RJ45,First Owner,1373,Manual,2018,20.73,91.1,130,16,May,2018,50,8.25,Jaipur,
Ford,Ecosport 1.5 Petrol Titanium,Comprehensive,Petrol,5,"29,462",RJ45,First Owner,1496,Manual,2019,15.9,120.69,149,R16,Apr,2019,40,8.75,Jaipur,
Maruti,Alto K10 2010-2014 VXI,Not Available,Petrol,5,"1,57,609",RJ14,Second Owner,998,Manual,2011,20.92,67.1,90,13,Oct,2011,75,1.51,Jaipur,
Skoda,Rapid 1.6 TDI Elegance,Not Available,Diesel,5,"1,51,788",RJ14,First Owner,1598,Manual,2012,20.5,103.5,250,15,Jun,2012,75,3.0,Jaipur,
Honda,City i VTEC CVT SV,Comprehensive,Petrol,5,"1,25,000",DL3C,First Owner,1497,Automatic,2015,18,117.3,145,,Nov,2015,75,5.9,Jaipur,
Chevrolet,Beat Diesel PS,Third Party,Diesel,5,"93,504",RJ14,Third Owner,936,Manual,2011,25.44,57.6,150,14,Oct,2011,75,1.2,Jaipur,
Chevrolet,Aveo U-VA 1.2 LS,Not Available,Petrol,5,"1,03,424",RJ14,First Owner,1150,Manual,2009,15.26,74.9,110,13,Sept,2009,75,0.76431,Jaipur,
Skoda,Rapid 1.6 TDI Ambition,Not Available,Diesel,5,"1,26,807",DL11,First Owner,1598,Manual,2013,20.5,103.5,250,14,Jan,2014,75,2.0,Jaipur,
Mahindra,NuvoSport N8,Not Available,Diesel,7,"85,101",RJ06,First Owner,1493,Manual,2016,17.45,100,240,16,Apr,2017,70,5.25,Jaipur,
Hyundai,i10 Magna 1.1L,Not Available,Petrol,5,"86,088",RJ11,First Owner,1086,Manual,2015,19.81,68.05,99.04,,Dec,2015,75,3.2,Jaipur,
Hyundai,i10 Sportz 1.2,Not Available,Petrol,5,"75,616",RJ14,Fourth Owner,1197,Manual,2009,20.36,78.9,111.8,13,Aug,2009,75,1.2,Jaipur,
Tata,Safari Storme VX Varicor 400,Not Available,Diesel,7,"65,378",RJ11,First Owner,2179,Manual,2018,14.1,153.86,400,17,Dec,2018,50,9.0,Jaipur,
Ford,Freestyle Titanium Petrol BSIV,Not Available,Petrol,5,"32,565",RJ45,Second Owner,1194,Manual,2018,19,94.68,120,15,May,2018,50,4.6,Jaipur,
Maruti,Swift Dzire VDI,Comprehensive,Diesel,5,"2,37,620",RJ14,First Owner,1248,Manual,2012,23.4,74,190,14,May,2012,75,4.0,Jaipur,
Hyundai,EON Era,Not Available,Petrol,5,"79,085",RJ14,First Owner,814,Manual,2014,21.1,55.2,74.5,12,Dec,2014,75,2.0,Jaipur,
Ford,Ecosport 1.5 Diesel Titanium BSIV,Not Available,Diesel,5,"25,776",RJ01,First Owner,1498,Manual,2019,23,98.96,205,16,Dec,2019,40,8.0,Jaipur,
Maruti,Grand Vitara Alpha,Zero Dep,Petrol,5,"6,043",RJ45,First Owner,1462,Manual,2022,21.11,101.64,136.8,17,Nov,2022,15,15.45,Jaipur,
Maruti,Baleno 1.2 Delta,Comprehensive,Petrol,5,"99,821",RJ45,Second Owner,1197,Manual,2018,21.4,83.1,115,,Oct,2018,50,6.0,Jaipur,
Ford,Figo Petrol Titanium,Not Available,Petrol,5,"48,207",HR51,Second Owner,1196,Manual,2010,15.6,70,102,14,May,2010,75,1.39,Jaipur,
Hyundai,Verna CRDi 1.6 SX Option,Comprehensive,Diesel,5,"81,812",HR12,First Owner,1582,Manual,2018,22,126.2,259.87,16,May,2018,50,9.45,Jaipur,
Maruti,Wagon R VXI BS IV,Not Available,Petrol,5,"70,675",RJ14,First Owner,998,Manual,2016,20.51,67.04,90,,May,2016,70,3.5,Jaipur,
Hyundai,Grand i10 CRDi Sportz,Not Available,Diesel,5,"85,791",RJ32,Second Owner,1120,Manual,2016,24,70,160,,Nov,2016,70,3.4,Jaipur,
Hyundai,Santro Sportz BSIV,Comprehensive,Petrol,5,"1,11,168",RJ06,First Owner,1086,Manual,2018,20.3,68,99,,Feb,2019,50,3.9,Jaipur,
Tata,Harrier Camo XT Plus,Zero Dep,Diesel,5,"11,521",HR20,First Owner,1956,Manual,2021,17,167.63,350,R17,Oct,2021,20,17.0,Jaipur,
Toyota,Innova Crysta 2.7 GX AT BSIV,Zero Dep,Petrol,7,"1,12,662",HR26,First Owner,2694,Automatic,2019,10.75,163.7,245,16,Aug,2019,40,17.35,Jaipur,
Maruti,SX4 Vxi BSIII,Comprehensive,Petrol,5,"1,24,132",RJ06,Third Owner,1586,Manual,2009,15,104,1,15,Mar,2009,75,1.47,Jaipur,
Maruti,Celerio ZXI AMT,Third Party insurance,Petrol,5,"69,000",UP16,First Owner,998,Automatic,2017,21.63,67.05,90,,Aug,2017,60,4.49,Jaipur,
Maruti,Wagon R VXI BS IV with ABS,Comprehensive,Petrol,5,"75,747",RJ14,Second Owner,998,Manual,2012,18.9,67.1,90,14,Aug,2012,75,2.5,Jaipur,
Toyota,Innova Crysta 2.4 ZX MT,Not Available,Diesel,7,"55,716",RJ14,First Owner,2393,Manual,2020,13.68,147.51,343,17,Feb,2021,30,21.87,Jaipur,
Maruti,Alto LXi,Not Available,Petrol,5,"22,241",RJ14,First Owner,796,Manual,2010,19.7,46.3,62,12,Jan,2011,75,1.5,Jaipur,
Skoda,Rapid 1.5 TDI AT Elegance,Not Available,Diesel,5,"97,737",RJ14,Second Owner,1498,Automatic,2015,21.66,103.52,250,15,Feb,2015,75,4.11,Jaipur,
MG,Hector Plus Sharp Hybrid MT,Not Available,Petrol,6,"57,353",RJ14,First Owner,1451,Manual,2020,14.025,141,250,18,Aug,2020,30,15.0,Jaipur,
Maruti,Wagon R VXI Minor,Not Available,Petrol,5,"71,356",DL9C,First Owner,1061,Manual,2009,18.9,67,84,14,Mar,2009,75,1.02,Jaipur,
Mahindra,TUV 300 T8,1,Diesel,7,"40,220",RJ14,First Owner,1493,Manual,2016,18.49,100,240,15,Oct,2016,70,7.5,Jaipur,
Honda,Brio VX AT,Not Available,Petrol,5,"69,168",RJ14,Second Owner,1198,Automatic,2016,16.5,86.8,109,14,May,2017,70,4.5,Jaipur,
Renault,KWID 1.0 RXT Opt,Comprehensive,Petrol,5,"36,362",RJ18,First Owner,999,Manual,2020,21.74,67,91,,Jan,2020,30,4.4,Jaipur,
Honda,Jazz 1.2 V i VTEC,Third Party,Petrol,5,"24,127",RJ14,First Owner,1199,Manual,2017,18.7,88.7,110,15,Oct,2017,60,5.5,Jaipur,
Hyundai,Venue SX Plus Turbo DCT BSIV,Comprehensive,Petrol,5,"36,400",HR72,First Owner,998,Automatic,2019,18.15,118.35,171.6,16,Jul,2019,40,9.75,Jaipur,
Skoda,Superb LK 1.8 TSI AT,Third Party insurance,Petrol,5,"97,307",HR26,First Owner,1798,Automatic,2016,14.67,177.46,2,17,Aug,2016,70,14.75,Jaipur,
Hyundai,Venue SX Plus Turbo DCT BSIV,Comprehensive,Petrol,5,"36,427",HR72,First Owner,998,Automatic,2019,18.15,118.35,171.6,16,Jul,2019,40,9.75,Jaipur,
Toyota,Fortuner 4x2 AT,Not Available,Diesel,7,"81,859",RJ26,Third Owner,2982,Automatic,2013,12.55,168.5,360,17,Jul,2013,75,12.0,Jaipur,
Datsun,RediGO 1.0 T Option,Third Party,Petrol,5,"41,505",DL8C,Second Owner,999,Manual,2017,22.5,67,91,,Feb,2018,60,1.6,Jaipur,
Mahindra,Verito 1.5 D6 BSIII,Third Party,Diesel,5,"1,94,158",RJ14,First Owner,1461,Manual,2012,21,64.1,160,14,Dec,2012,75,1.8,Jaipur,
Mercedes-Benz,C-Class C 250 CDI Elegance,Not Available,Diesel,5,"50,671",CH01,Second Owner,2143,Automatic,2012,14.94,204,500,16,May,2012,75,8.0,Jaipur,
